"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 22 16:02:56 GMT 2025","Fri Aug 22 16:02:58 GMT 2025","2025","chromium","uiComponents.spec.ts","Form Layouts page","","","tooltip",""
"passed","Fri Aug 22 16:06:58 GMT 2025","Fri Aug 22 16:07:03 GMT 2025","5312","firefox","uiComponents.spec.ts","Form Layouts page","","","temp slider",""
"passed","Fri Aug 22 16:03:47 GMT 2025","Fri Aug 22 16:03:51 GMT 2025","4199","firefox","firstTest.spec.ts","","","","extractions",""
"passed","Fri Aug 22 16:02:51 GMT 2025","Fri Aug 22 16:02:52 GMT 2025","1513","chromium","uiComponents.spec.ts","Form Layouts page","","","radio buttons VISUAL assertion",""
"passed","Fri Aug 22 16:06:13 GMT 2025","Fri Aug 22 16:06:17 GMT 2025","4815","firefox","uiComponents.spec.ts","Form Layouts page","","","checkboxes",""
"passed","Fri Aug 22 16:01:03 GMT 2025","Fri Aug 22 16:01:05 GMT 2025","1765","chromium","firstTest.spec.ts","","","","reuse locators",""
"passed","Fri Aug 22 16:06:22 GMT 2025","Fri Aug 22 16:06:27 GMT 2025","5103","firefox","uiComponents.spec.ts","Form Layouts page","","","tooltip",""
"passed","Fri Aug 22 16:03:04 GMT 2025","Fri Aug 22 16:03:09 GMT 2025","4363","chromium","uiComponents.spec.ts","Form Layouts page","","","search and validate",""
"passed","Fri Aug 22 16:06:03 GMT 2025","Fri Aug 22 16:06:08 GMT 2025","4530","firefox","uiComponents.spec.ts","Form Layouts page","","","radio buttons",""
"passed","Fri Aug 22 16:01:25 GMT 2025","Fri Aug 22 16:01:44 GMT 2025","18608","chromium","firstTest.spec.ts","","","","ajax locator timeout",""
"passed","Fri Aug 22 16:01:05 GMT 2025","Fri Aug 22 16:01:06 GMT 2025","1593","chromium","firstTest.spec.ts","","","","extractions",""
"passed","Fri Aug 22 16:00:58 GMT 2025","Fri Aug 22 16:00:59 GMT 2025","1807","chromium","firstTest.spec.ts","","","","user facing locators",""
"passed","Fri Aug 22 16:06:39 GMT 2025","Fri Aug 22 16:06:45 GMT 2025","6019","firefox","uiComponents.spec.ts","Form Layouts page","","","nav and select by id",""
"passed","Fri Aug 22 16:06:45 GMT 2025","Fri Aug 22 16:06:52 GMT 2025","7684","firefox","uiComponents.spec.ts","Form Layouts page","","","search and validate",""
"passed","Fri Aug 22 16:01:44 GMT 2025","Fri Aug 22 16:02:01 GMT 2025","17312","chromium","firstTest.spec.ts","","","","ajax waitForSelector",""
"passed","Fri Aug 22 16:05:57 GMT 2025","Fri Aug 22 16:06:03 GMT 2025","6153","firefox","uiComponents.spec.ts","Form Layouts page","","","input fields",""
"passed","Fri Aug 22 16:03:51 GMT 2025","Fri Aug 22 16:03:56 GMT 2025","4368","firefox","firstTest.spec.ts","","","","assertions",""
"passed","Thu Aug 28 09:47:41 GMT 2025","Thu Aug 28 09:47:42 GMT 2025","1753","chromium","usingPageObjects.spec.ts","","","","navigate to forms page @smoke",""
"passed","Fri Aug 22 16:03:34 GMT 2025","Fri Aug 22 16:03:38 GMT 2025","4573","firefox","firstTest.spec.ts","","","","locating childs",""
"passed","Fri Aug 22 16:06:33 GMT 2025","Fri Aug 22 16:06:39 GMT 2025","5841","firefox","uiComponents.spec.ts","Form Layouts page","","","tables",""
"passed","Fri Aug 22 16:03:56 GMT 2025","Fri Aug 22 16:04:16 GMT 2025","20600","firefox","firstTest.spec.ts","","","","ajax waitFor state",""
"passed","Wed Aug 27 14:42:44 GMT 2025","Wed Aug 27 14:42:51 GMT 2025","7728","chromium","uiComponents.spec.ts","dragdrop with iframes","","","iframe",""
"passed","Fri Aug 22 16:02:01 GMT 2025","Fri Aug 22 16:02:18 GMT 2025","17377","chromium","firstTest.spec.ts","","","","ajax waitForResponse",""
"passed","Fri Aug 22 16:07:17 GMT 2025","Fri Aug 22 16:07:22 GMT 2025","4830","firefox","usingPageObjects.spec.ts","","","","parameterized methods",""
"passed","Fri Aug 22 16:02:18 GMT 2025","Fri Aug 22 16:02:36 GMT 2025","18147","chromium","firstTest.spec.ts","increased action timeout","","","timeouts",""
"passed","Fri Aug 22 16:03:02 GMT 2025","Fri Aug 22 16:03:04 GMT 2025","2130","chromium","uiComponents.spec.ts","Form Layouts page","","","nav and select by id",""
"passed","Fri Aug 22 16:03:22 GMT 2025","Fri Aug 22 16:03:28 GMT 2025","5439","firefox","firstTest.spec.ts","","","","locator syntax rules",""
"passed","Fri Aug 22 16:03:00 GMT 2025","Fri Aug 22 16:03:02 GMT 2025","2079","chromium","uiComponents.spec.ts","Form Layouts page","","","tables",""
"passed","Fri Aug 22 16:02:49 GMT 2025","Fri Aug 22 16:02:51 GMT 2025","1497","chromium","uiComponents.spec.ts","Form Layouts page","","","radio buttons",""
"passed","Thu Aug 28 09:49:21 GMT 2025","Thu Aug 28 09:49:24 GMT 2025","2465","firefox","uiComponents.spec.ts","Form Layouts page","","","browser dialog @regression",""
"passed","Fri Aug 22 16:02:54 GMT 2025","Fri Aug 22 16:02:56 GMT 2025","1733","chromium","uiComponents.spec.ts","Form Layouts page","","","comboxbox",""
"passed","Fri Aug 22 16:00:53 GMT 2025","Fri Aug 22 16:00:57 GMT 2025","3948","chromium","firstTest.spec.ts","","","","locator syntax rules",""
"passed","Fri Aug 22 16:04:37 GMT 2025","Fri Aug 22 16:04:57 GMT 2025","20762","firefox","firstTest.spec.ts","","","","ajax waitForSelector",""
"passed","Fri Aug 22 16:03:19 GMT 2025","Fri Aug 22 16:03:21 GMT 2025","1782","chromium","usingPageObjects.spec.ts","","","","parameterized methods",""
"passed","Thu Aug 28 09:49:11 GMT 2025","Thu Aug 28 09:49:14 GMT 2025","3511","firefox","testWithFixtures.spec.ts","","","","parameterized methods with POM fixture @regression",""
"passed","Fri Aug 22 16:01:01 GMT 2025","Fri Aug 22 16:01:03 GMT 2025","1643","chromium","firstTest.spec.ts","","","","locating parents",""
"passed","Fri Aug 22 16:06:52 GMT 2025","Fri Aug 22 16:06:58 GMT 2025","5369","firefox","uiComponents.spec.ts","Form Layouts page","","","datepicker tomorrow",""
"passed","Fri Aug 22 16:06:08 GMT 2025","Fri Aug 22 16:06:13 GMT 2025","5001","firefox","uiComponents.spec.ts","Form Layouts page","","","radio buttons VISUAL assertion",""
"passed","Fri Aug 22 16:02:46 GMT 2025","Fri Aug 22 16:02:49 GMT 2025","3162","chromium","uiComponents.spec.ts","Form Layouts page","","","input fields",""
"passed","Thu Aug 28 09:49:02 GMT 2025","Thu Aug 28 09:49:04 GMT 2025","2205","chromium","testWithFixtures.spec.ts","","","","parameterized methods with POM fixture @regression",""
"passed","Fri Aug 22 16:01:06 GMT 2025","Fri Aug 22 16:01:08 GMT 2025","1530","chromium","firstTest.spec.ts","","","","assertions",""
"passed","Fri Aug 22 16:01:08 GMT 2025","Fri Aug 22 16:01:25 GMT 2025","17290","chromium","firstTest.spec.ts","","","","ajax waitFor state",""
"passed","Fri Aug 22 16:03:09 GMT 2025","Fri Aug 22 16:03:11 GMT 2025","2243","chromium","uiComponents.spec.ts","Form Layouts page","","","datepicker tomorrow",""
"passed","Fri Aug 22 16:03:43 GMT 2025","Fri Aug 22 16:03:47 GMT 2025","4521","firefox","firstTest.spec.ts","","","","reuse locators",""
"passed","Fri Aug 22 16:06:17 GMT 2025","Fri Aug 22 16:06:22 GMT 2025","4970","firefox","uiComponents.spec.ts","Form Layouts page","","","comboxbox",""
"passed","Thu Aug 28 09:47:52 GMT 2025","Thu Aug 28 09:48:07 GMT 2025","14636","mobile","testMobile.spec.ts","","","","input fields @smoke",""
"skipped","Fri Aug 22 16:03:09 GMT 2025","Fri Aug 22 16:03:09 GMT 2025","1","chromium","uiComponents.spec.ts","Form Layouts page","","","datepicker",""
"passed","Wed Aug 27 14:42:54 GMT 2025","Wed Aug 27 14:43:08 GMT 2025","14561","firefox","uiComponents.spec.ts","dragdrop with iframes","","","iframe",""
"passed","Thu Aug 28 09:47:43 GMT 2025","Thu Aug 28 09:47:47 GMT 2025","4447","firefox","testMobile.spec.ts","","","","input fields @smoke",""
"passed","Thu Aug 28 09:49:15 GMT 2025","Thu Aug 28 09:49:19 GMT 2025","3964","firefox","uiComponents.spec.ts","Form Layouts page","","","test with argos.ci @regression",""
"passed","Fri Aug 22 16:02:52 GMT 2025","Fri Aug 22 16:02:54 GMT 2025","2010","chromium","uiComponents.spec.ts","Form Layouts page","","","checkboxes",""
